#groundtruth,mba
-1*(v0&~v1)-1*~(v0|v1),2*(v0&~v1)*(v0&v1)+1*(v0&~v1)*(v0&~v1)+4*(v0&~v1)*~(v0|v1)+3*(v0&~v1)*~(v0|~v1)-12*~(v0|v1)*(v0&v1)-3*~(v0|v1)*(v0&~v1)+12*~(v0|v1)*v1+4*~(v0|v1)*~(v0&v1)-6*~(v0|v1)*~(v0|v1)-17*~(v0|v1)*~(v0|~v1)-1*(v0&~v1)*~(v0^v1)-2*(v0&~v1)*~v0+1*~(v0|v1)*~(v0^v1)+2*~(v0|v1)*~v0
-14*~(v0|~v1),-2*v1-1*~(v0&v1)-11*(v0|v1)+1*~(v0|v1)+12*(v0&~v1)+13*(v0&v1)
-14*~(v0|~v1),-112*~(v0|~v1)*(v0&v1)+42*~(v0|~v1)*(v0&~v1)+154*~(v0|~v1)*~(v0^v1)-56*~(v0|~v1)*~(v0|v1)+70*~(v0|~v1)*~(v0|~v1)-56*~(v0|~v1)*~v0-28*~(v0|~v1)*(v0|~v1)
-2*(v0&v1),-1*(v0^v1)-2*v1-6*~(v0&v1)+6*~(v0|v1)+9*~(v0|~v1)+7*(v0&~v1)
-2*(v0&v1),-28*(v0&v1)*(v0&~v1)-4*(v0&v1)*v0-26*(v0&v1)*~(v0|v1)-10*(v0&v1)*~(v0|~v1)+22*(v0&v1)*~v1+12*(v0&v1)*(v0^v1)+6*(v0&v1)*~(v0^v1)
11*~(v0&~v0)-15*(v0&v1),3*v1-1*~v1-7*~(v0&~v1)+19*~(v0|v1)+15*~(v0|~v1)+12*(v0&~v1)
11*~(v0&~v0)-15*(v0&v1),-165*~(v0&~v0)*(v0&v1)-99*~(v0&~v0)*(v0&~v1)+77*~(v0&~v0)*(v0|~v1)-22*~(v0&~v0)*~(v0|v1)-88*~(v0&~v0)*~(v0|~v1)-66*~(v0&~v0)*~v1+225*(v0&v1)*(v0&v1)+135*(v0&v1)*(v0&~v1)-105*(v0&v1)*(v0|~v1)+30*(v0&v1)*~(v0|v1)+120*(v0&v1)*~(v0|~v1)+90*(v0&v1)*~v1+77*~(v0&~v0)*(v0|v1)-105*(v0&v1)*(v0|v1)
9*(v0&v1)+5*~(v0&v1),-7*~(v0&~v1)+5*v1+11*(v0|~v1)+1*~(v0|v1)+7*~(v0|~v1)-6*(v0&~v1)
9*(v0&v1)+5*~(v0&v1),-9*(v0&v1)*(v0&v1)-72*(v0&v1)*(v0&~v1)+72*(v0&v1)*(v0^v1)+18*(v0&v1)*v1+18*(v0&v1)*~(v0|v1)-90*(v0&v1)*~(v0|~v1)-5*~(v0&v1)*(v0&v1)-40*~(v0&v1)*(v0&~v1)+40*~(v0&v1)*(v0^v1)+10*~(v0&v1)*v1+10*~(v0&v1)*~(v0|v1)-50*~(v0&v1)*~(v0|~v1)-9*(v0&v1)*~(v0&v1)-18*(v0&v1)*~(v0^v1)-5*~(v0&v1)*~(v0&v1)-10*~(v0&v1)*~(v0^v1)
-1*(v0&v1),-7*~v1-7*v1+7*~(v0^v1)-1*(v0|v1)+8*~(v0|~v1)+8*(v0&~v1)
-1*(v0&v1),6*(v0&v1)*(v0&v1)+4*(v0&v1)*(v0&~v1)+2*(v0&v1)*v1-4*(v0&v1)*~(v0^v1)+8*(v0&v1)*~(v0|v1)+2*(v0&v1)*~(v0|~v1)-3*(v0&v1)*~(v0&~v0)
-11*(v0|v1),-7*~v1+1*~(v0&~v0)+6*~(v0|v1)-12*~(v0|~v1)-5*(v0&~v1)-12*(v0&v1)
-11*(v0|v1),11*(v0|v1)*(v0&v1)+220*(v0|v1)*(v0&~v1)-220*(v0|v1)*~(v0&v1)+231*(v0|v1)*~(v0|v1)+220*(v0|v1)*~(v0|~v1)+11*(v0|v1)*(v0^v1)
1*~(v0|v1)+2*~(v0|~v1),-1*v0+2*(v0^v1)+1*~(v0&v1)-1*(v0|v1)-1*(v0&~v1)+2*(v0&v1)
1*~(v0|v1)+2*~(v0|~v1),-3*~(v0|v1)*(v0&v1)+2*~(v0|v1)*~(v0&~v0)-2*~(v0|v1)*~(v0|v1)-1*~(v0|v1)*~(v0|~v1)-2*~(v0|~v1)*(v0&v1)-28*~(v0|~v1)*(v0&~v1)+20*~(v0|~v1)*~(v0&v1)-24*~(v0|~v1)*~(v0|v1)-26*~(v0|~v1)*~(v0|~v1)-2*~(v0|v1)*(v0^v1)-1*~(v0|v1)*~v1+4*~(v0|~v1)*(v0^v1)+2*~(v0|~v1)*~v1
2*~(v0|~v1),-1*v0-2*~(v0^v1)-1*~(v0&~v0)+2*~(v0&v1)+1*~v0+4*(v0&v1)
2*~(v0|~v1),-24*~(v0|~v1)*(v0&v1)-24*~(v0|~v1)*(v0&~v1)+4*~(v0|~v1)*(v0|~v1)-46*~(v0|~v1)*~(v0|v1)+2*~(v0|~v1)*~(v0|~v1)+22*~(v0|~v1)*~v1-4*~(v0|~v1)*~(v0&~v0)+22*~(v0|~v1)*~(v0^v1)
1*(v0|v1)+6*(v0|~v1),1*~(v0&v1)-6*v1+5*~(v0|v1)+6*~(v0|~v1)+6*(v0&~v1)+13*(v0&v1)
1*(v0|v1)+6*(v0|~v1),-6*(v0|v1)*~(v0|v1)-9*(v0|v1)*~(v0|~v1)+8*(v0|v1)*~v0-12*(v0|~v1)*~(v0&~v0)+24*(v0|~v1)*~(v0|v1)+42*(v0|~v1)*~(v0|~v1)-36*(v0|~v1)*~v0+2*(v0|v1)*(v0&v1)+2*(v0|v1)*(v0&~v1)-3*(v0|v1)*(v0|~v1)-12*(v0|~v1)*(v0&v1)-12*(v0|~v1)*(v0&~v1)+18*(v0|~v1)*(v0|~v1)
-2*~(v0|~v1)+3*~v0,2*v0+1*~(v0&~v0)-1*(v0|~v1)+3*~(v0|v1)-2*(v0&~v1)-2*(v0&v1)
-2*~(v0|~v1)+3*~v0,-8*~(v0|~v1)*(v0&~v1)+8*~(v0|~v1)*(v0^v1)+2*~(v0|~v1)*~(v0|v1)-4*~(v0|~v1)*~(v0|~v1)+12*~v0*(v0&~v1)-12*~v0*(v0^v1)-3*~v0*~(v0|v1)+6*~v0*~(v0|~v1)+2*~(v0|~v1)*(v0|~v1)-2*~(v0|~v1)*~v0-3*~v0*(v0|~v1)+3*~v0*~v0
2*~v0-3*~(v0|~v1),7*v0-1*(v0|v1)-11*~v1+13*~(v0|v1)+5*(v0&~v1)-6*(v0&v1)
2*~v0-3*~(v0|~v1),-4*~v0*(v0&~v1)-8*~v0*~(v0|v1)-8*~v0*~(v0|~v1)+6*~v0*~v0+6*~(v0|~v1)*(v0&~v1)+12*~(v0|~v1)*~(v0|v1)+12*~(v0|~v1)*~(v0|~v1)-9*~(v0|~v1)*~v0+2*~v0*~(v0&v1)-2*~v0*~(v0&~v1)-3*~(v0|~v1)*~(v0&v1)+3*~(v0|~v1)*~(v0&~v1)
8*~(v0|v1),-1*~(v0&v1)+11*(v0|~v1)-2*~(v0&~v0)+3*~(v0|~v1)-8*(v0&~v1)-9*(v0&v1)
8*~(v0|v1),-64*~(v0|v1)*(v0&v1)+16*~(v0|v1)*(v0&~v1)-80*~(v0|v1)*~(v0&v1)-24*~(v0|v1)*~(v0|v1)+40*~(v0|v1)*~v0+24*~(v0|v1)*(v0|~v1)+32*~(v0|v1)*~(v0&~v0)
-1*~(v0|v1),1*(v0|v1)+1*~(v0^v1)+1*v1-2*~v0-1*(v0&~v1)-3*(v0&v1)
-1*~(v0|v1),-22*~(v0|v1)*(v0&v1)+1*~(v0|v1)*(v0&~v1)+12*~(v0|v1)*v1-13*~(v0|v1)*~(v0|v1)-14*~(v0|v1)*~(v0|~v1)+3*~(v0|v1)*~v0+11*~(v0|v1)*~(v0^v1)
-4*(v0^v1)+7*(v0&~v1),-1*~(v0^v1)+2*~(v0&~v0)+1*(v0|~v1)-2*~(v0|v1)-6*~(v0|~v1)-2*(v0&v1)
-4*(v0^v1)+7*(v0&~v1),-12*(v0^v1)*(v0&v1)-4*(v0^v1)*(v0&~v1)+16*(v0^v1)*v0+4*(v0^v1)*~(v0|v1)-24*(v0^v1)*~(v0|~v1)+8*(v0^v1)*~v0+21*(v0&~v1)*(v0&v1)+7*(v0&~v1)*(v0&~v1)-28*(v0&~v1)*v0-7*(v0&~v1)*~(v0|v1)+42*(v0&~v1)*~(v0|~v1)-14*(v0&~v1)*~v0+20*(v0^v1)*~(v0&v1)-28*(v0^v1)*~v1-35*(v0&~v1)*~(v0&v1)+49*(v0&~v1)*~v1
4*~(v0|v1),1*~(v0&v1)+3*(v0|~v1)+2*v0-1*~(v0|~v1)-6*(v0&~v1)-5*(v0&v1)
4*~(v0|v1),-16*~(v0|v1)*(v0&v1)-32*~(v0|v1)*(v0&~v1)+40*~(v0|v1)*(v0^v1)+12*~(v0|v1)*v0+20*~(v0|v1)*~(v0|v1)-20*~(v0|v1)*~(v0|~v1)-24*~(v0|v1)*~(v0&v1)
-5*v1+9*~(v0|~v1),1*(v0|~v1)-7*(v0|v1)+11*~(v0&v1)-12*~(v0|v1)-5*(v0&~v1)+1*(v0&v1)
-5*v1+9*~(v0|~v1),40*v1*(v0&v1)+50*v1*(v0&~v1)-10*v1*(v0^v1)+30*v1*~(v0|v1)+50*v1*~(v0|~v1)+252*~(v0|~v1)*(v0&v1)+54*~(v0|~v1)*(v0&~v1)-198*~(v0|~v1)*v1+36*~(v0|~v1)*~(v0|v1)+252*~(v0|~v1)*~(v0|~v1)-10*v1*(v0|v1)-25*v1*~(v0&~v0)-18*~(v0|~v1)*(v0|v1)-45*~(v0|~v1)*~(v0&~v0)
11*(v0|v1)+1*~v0,-1*~(v0&~v0)+5*~(v0&v1)-3*~(v0|v1)+8*~(v0|~v1)+7*(v0&~v1)+12*(v0&v1)
11*(v0|v1)+1*~v0,22*(v0|v1)*(v0&v1)+55*(v0|v1)*(v0&~v1)+22*(v0|v1)*~(v0^v1)+11*(v0|v1)*~(v0|v1)+33*(v0|v1)*~(v0|~v1)+11*(v0|v1)*~v0-6*~v0*(v0&v1)-7*~v0*(v0&~v1)-7*~v0*~(v0|v1)-7*~v0*~(v0|~v1)+1*~v0*~v0-66*(v0|v1)*~(v0&~v0)+11*(v0|v1)*~(v0&~v1)+6*~v0*~(v0&~v0)-1*~v0*~(v0&~v1)
12*~(v0|~v1)+18*(v0&~v1),-6*v1-1*~(v0^v1)+11*~(v0&v1)+7*(v0^v1)-10*~(v0|v1)+7*(v0&v1)
12*~(v0|~v1)+18*(v0&~v1),-96*~(v0|~v1)*(v0&v1)-156*~(v0|~v1)*(v0&~v1)+48*~(v0|~v1)*~(v0&v1)-60*~(v0|~v1)*~(v0|v1)-72*~(v0|~v1)*~(v0|~v1)-144*(v0&~v1)*(v0&v1)-234*(v0&~v1)*(v0&~v1)+72*(v0&~v1)*~(v0&v1)-90*(v0&~v1)*~(v0|v1)-108*(v0&~v1)*~(v0|~v1)+12*~(v0|~v1)*(v0^v1)+84*~(v0|~v1)*v0+18*(v0&~v1)*(v0^v1)+126*(v0&~v1)*v0
-1*v1,1*~v1-3*~v0+2*~(v0|v1)+2*~(v0|~v1)-1*(v0&~v1)-1*(v0&v1)
-1*v1,5*v1*(v0&~v1)+4*v1*~(v0&~v1)+6*v1*~(v0|v1)+2*v1*~(v0|~v1)-5*v1*~v0-3*v1*(v0|~v1)-1*v1*~v1
1*v1,7*v0-11*~(v0^v1)+11*~(v0|v1)+1*~(v0|~v1)-7*(v0&~v1)+5*(v0&v1)
1*v1,-6*v1*(v0&~v1)-2*v1*v0-9*v1*~(v0|v1)-8*v1*~(v0|~v1)+7*v1*~(v0&v1)+1*v1*~(v0^v1)
-1*(v0&v1),-1*v0-6*~v1+11*~v0-5*~(v0&v1)-6*~(v0|~v1)+12*(v0&~v1)
-1*(v0&v1),8*(v0&v1)*(v0&~v1)+15*(v0&v1)*~(v0|v1)+11*(v0&v1)*~(v0|~v1)-3*(v0&v1)*~v0+12*(v0&v1)*(v0&v1)-7*(v0&v1)*(v0^v1)-11*(v0&v1)*~(v0^v1)
2*(v0&v1),-7*~v1+4*~(v0&v1)+2*~(v0&~v1)+1*~(v0|v1)-6*~(v0|~v1)+3*(v0&~v1)
2*(v0&v1),6*(v0&v1)*(v0&v1)-18*(v0&v1)*(v0&~v1)+2*(v0&v1)*(v0^v1)+14*(v0&v1)*v0+20*(v0&v1)*~(v0|v1)-22*(v0&v1)*~(v0&~v1)+18*(v0&v1)*~(v0|~v1)
4*(v0&v1)+6*~(v0|~v1),2*(v0^v1)+5*~(v0&~v0)+1*~v1-1*v1-6*~(v0|v1)-8*(v0&~v1)
4*(v0&v1)+6*~(v0|~v1),20*(v0&v1)*(v0&v1)-8*(v0&v1)*(v0&~v1)+4*(v0&v1)*(v0^v1)-24*(v0&v1)*v1+20*(v0&v1)*~(v0|~v1)-6*~(v0|~v1)*(v0&v1)+84*~(v0|~v1)*(v0&~v1)-90*~(v0|~v1)*(v0^v1)-12*~(v0|~v1)*~(v0|v1)+78*~(v0|~v1)*~(v0|~v1)-4*(v0&v1)*~v0+6*~(v0|~v1)*~v0
3*v1,11*~v0+5*(v0|v1)-11*~(v0|v1)-13*~(v0|~v1)-5*(v0&~v1)-2*(v0&v1)
3*v1,-24*v1*(v0&v1)-9*v1*(v0&~v1)+6*v1*~(v0&v1)-30*v1*~(v0|v1)-30*v1*~(v0|~v1)+21*v1*~(v0&~v1)
4*(v0&v1)+1*~(v0&v1),2*~(v0&~v1)-1*~(v0^v1)+3*~(v0&~v0)-3*~(v0|v1)-4*~(v0|~v1)-2*(v0&~v1)
4*(v0&v1)+1*~(v0&v1),-20*(v0&v1)*(v0&v1)+40*(v0&v1)*(v0&~v1)-24*(v0&v1)*v0+40*(v0&v1)*~(v0^v1)-52*(v0&v1)*~(v0|v1)+24*(v0&v1)*~(v0|~v1)-5*~(v0&v1)*(v0&v1)+10*~(v0&v1)*(v0&~v1)-6*~(v0&v1)*v0+10*~(v0&v1)*~(v0^v1)-13*~(v0&v1)*~(v0|v1)+6*~(v0&v1)*~(v0|~v1)-28*(v0&v1)*(v0^v1)+8*(v0&v1)*~v1-7*~(v0&v1)*(v0^v1)+2*~(v0&v1)*~v1
-11*~(v0^v1),-2*(v0|v1)-5*~v0-6*~(v0|v1)+7*~(v0|~v1)+2*(v0&~v1)-9*(v0&v1)
-11*~(v0^v1),88*~(v0^v1)*(v0&v1)+22*~(v0^v1)*(v0|v1)+44*~(v0^v1)*~(v0^v1)-11*~(v0^v1)*~(v0|v1)+132*~(v0^v1)*(v0&~v1)-121*~(v0^v1)*v0-22*~(v0^v1)*~(v0&~v0)+11*~(v0^v1)*~(v0|~v1)
7*~(v0&v1)+6*~(v0&~v0),-6*(v0|v1)+5*(v0^v1)+13*~(v0|v1)+14*~(v0|~v1)+14*(v0&~v1)+12*(v0&v1)
7*~(v0&v1)+6*~(v0&~v0),-133*~(v0&v1)*(v0&v1)-91*~(v0&v1)*(v0&~v1)+56*~(v0&v1)*v0+28*~(v0&v1)*~(v0&~v0)-70*~(v0&v1)*~(v0|v1)-70*~(v0&v1)*~(v0|~v1)+30*~(v0&~v0)*(v0&v1)-6*~(v0&~v0)*(v0&~v1)+24*~(v0&~v0)*~(v0|v1)+24*~(v0&~v0)*~(v0|~v1)+42*~(v0&v1)*~(v0&~v1)-7*~(v0&v1)*~v0-36*~(v0&~v0)*~(v0&~v1)+6*~(v0&~v0)*~v0
-5*(v0&~v1),1*~(v0^v1)+1*~(v0&~v0)-6*~(v0&v1)+4*~(v0|v1)+5*~(v0|~v1)-2*(v0&v1)
-5*(v0&~v1),10*(v0&~v1)*(v0&v1)+35*(v0&~v1)*(v0&~v1)+25*(v0&~v1)*~(v0^v1)-5*(v0&~v1)*~(v0|~v1)+10*(v0&~v1)*~v0-30*(v0&~v1)*(v0|~v1)
1*(v0^v1)-1*(v0|~v1),3*~(v0^v1)-6*(v0|v1)-4*~(v0|v1)+7*~(v0|~v1)+6*(v0&~v1)+2*(v0&v1)
1*(v0^v1)-1*(v0|~v1),-8*(v0^v1)*(v0&v1)-10*(v0^v1)*(v0&~v1)+8*(v0^v1)*(v0|~v1)-1*(v0^v1)*~(v0&~v1)-2*(v0^v1)*~(v0|v1)+8*(v0|~v1)*(v0&v1)+10*(v0|~v1)*(v0&~v1)-8*(v0|~v1)*(v0|~v1)+1*(v0|~v1)*~(v0&~v1)+2*(v0|~v1)*~(v0|v1)+1*(v0^v1)*~(v0&v1)+6*(v0^v1)*~(v0|~v1)-7*(v0^v1)*~v0-1*(v0|~v1)*~(v0&v1)-6*(v0|~v1)*~(v0|~v1)+7*(v0|~v1)*~v0
-2*~(v0^v1)-1*(v0^v1),1*v1+1*~v0-3*~(v0|v1)-3*~(v0|~v1)-1*(v0&~v1)-3*(v0&v1)
-2*~(v0^v1)-1*(v0^v1),68*~(v0^v1)*(v0&v1)+46*~(v0^v1)*(v0&~v1)-44*~(v0^v1)*~(v0^v1)+90*~(v0^v1)*~(v0|v1)+10*~(v0^v1)*~(v0|~v1)-22*~(v0^v1)*~v1-10*(v0^v1)*(v0&v1)+1*(v0^v1)*(v0&~v1)+1*(v0^v1)*~(v0|v1)-3*(v0^v1)*~(v0|~v1)-11*(v0^v1)*~v1-14*~(v0^v1)*(v0|~v1)-8*~(v0^v1)*~(v0&~v0)+7*(v0^v1)*(v0|~v1)+4*(v0^v1)*~(v0&~v0)
5*~(v0&~v0)+4*~(v0|v1),-2*(v0|~v1)-3*v1+11*~(v0^v1)+8*~(v0|~v1)+7*(v0&~v1)-1*(v0&v1)
5*~(v0&~v0)+4*~(v0|v1),-20*~(v0&~v0)*(v0&v1)+20*~(v0&~v0)*(v0&~v1)+25*~(v0&~v0)*~(v0|v1)-5*~(v0&~v0)*~v0-25*~(v0&~v0)*~v1-16*~(v0|v1)*(v0&v1)+16*~(v0|v1)*(v0&~v1)+20*~(v0|v1)*~(v0|v1)-4*~(v0|v1)*~v0-20*~(v0|v1)*~v1+15*~(v0&~v0)*v1-15*~(v0&~v0)*~(v0|~v1)+12*~(v0|v1)*v1-12*~(v0|v1)*~(v0|~v1)
16*(v0&v1),5*(v0^v1)+5*~(v0&~v0)+11*v1-5*~(v0|v1)-21*~(v0|~v1)-10*(v0&~v1)
16*(v0&v1),128*(v0&v1)*(v0&v1)+32*(v0&v1)*(v0&~v1)-32*(v0&v1)*(v0|v1)-16*(v0&v1)*~(v0&~v0)+128*(v0&v1)*~(v0|~v1)-96*(v0&v1)*~(v0&~v1)+96*(v0&v1)*~(v0|v1)
2*(v0|~v1)+1*~(v0|~v1),-2*~v1-1*~(v0^v1)+1*~(v0&~v0)+4*~(v0|v1)+3*(v0&~v1)+2*(v0&v1)
2*(v0|~v1)+1*~(v0|~v1),-4*(v0|~v1)*(v0&v1)-14*(v0|~v1)*(v0&~v1)+12*(v0|~v1)*~(v0&v1)-4*(v0|~v1)*~(v0|v1)-2*(v0|~v1)*~(v0|~v1)-2*~(v0|~v1)*(v0&v1)-7*~(v0|~v1)*(v0&~v1)+6*~(v0|~v1)*~(v0&v1)-2*~(v0|~v1)*~(v0|v1)-1*~(v0|~v1)*~(v0|~v1)+2*(v0|~v1)*~(v0^v1)-12*(v0|~v1)*~v0+1*~(v0|~v1)*~(v0^v1)-6*~(v0|~v1)*~v0
-10*~(v0|~v1)-2*~(v0^v1),-11*~v0+4*(v0|~v1)+1*~(v0&~v0)+4*~(v0|v1)-5*(v0&~v1)-7*(v0&v1)
-10*~(v0|~v1)-2*~(v0^v1),230*~(v0|~v1)*(v0&v1)+10*~(v0|~v1)*(v0&~v1)-220*~(v0|~v1)*v0-200*~(v0|~v1)*~(v0|v1)-90*~(v0|~v1)*~(v0|~v1)-10*~(v0|~v1)*~v0+46*~(v0^v1)*(v0&v1)+2*~(v0^v1)*(v0&~v1)-44*~(v0^v1)*v0-40*~(v0^v1)*~(v0|v1)-18*~(v0^v1)*~(v0|~v1)-2*~(v0^v1)*~v0+110*~(v0|~v1)*~(v0&v1)+110*~(v0|~v1)*~v1+22*~(v0^v1)*~(v0&v1)+22*~(v0^v1)*~v1
6*~v0,2*(v0^v1)+4*v0+6*~(v0|v1)+4*~(v0|~v1)-6*(v0&~v1)-4*(v0&v1)
6*~v0,144*~v0*(v0&v1)+66*~v0*(v0&~v1)+60*~v0*~(v0&v1)-84*~v0*~(v0&~v1)+18*~v0*~(v0|v1)+150*~v0*~(v0|~v1)-66*~v0*(v0^v1)-66*~v0*(v0|v1)
-7*(v0|v1),4*~v0+1*v0-11*v1-4*~(v0|v1)-8*(v0&~v1)+3*(v0&v1)
-7*(v0|v1),-91*(v0|v1)*(v0&v1)-28*(v0|v1)*(v0&~v1)+14*(v0|v1)*v1+49*(v0|v1)*~(v0&~v1)-42*(v0|v1)*~(v0|v1)-56*(v0|v1)*~(v0|~v1)+35*(v0|v1)*v0
-1*(v0|v1)-1*~v0,-1*~v1+2*~(v0&~v0)-2*~(v0|v1)-4*~(v0|~v1)-2*(v0&~v1)-3*(v0&v1)
-1*(v0|v1)-1*~v0,-2*(v0|v1)*(v0&v1)+1*(v0|v1)*(v0&~v1)+2*(v0|v1)*v1-2*(v0|v1)*~(v0&~v0)+2*(v0|v1)*~(v0|v1)+1*(v0|v1)*~(v0|~v1)-2*~v0*(v0&v1)+1*~v0*(v0&~v1)+2*~v0*v1-2*~v0*~(v0&~v0)+2*~v0*~(v0|v1)+1*~v0*~(v0|~v1)+2*(v0|v1)*v0+1*(v0|v1)*~(v0^v1)+2*~v0*v0+1*~v0*~(v0^v1)
-1*(v0^v1)-6*(v0&~v1),2*~v0-7*~v1+1*~(v0^v1)+4*~(v0|v1)-3*~(v0|~v1)-1*(v0&v1)
-1*(v0^v1)-6*(v0&~v1),8*(v0^v1)*(v0&v1)+7*(v0^v1)*(v0&~v1)-4*(v0^v1)*~(v0&~v0)+6*(v0^v1)*~(v0|v1)+8*(v0^v1)*~(v0|~v1)-1*(v0^v1)*~v1+48*(v0&~v1)*(v0&v1)+42*(v0&~v1)*(v0&~v1)-24*(v0&~v1)*~(v0&~v0)+36*(v0&~v1)*~(v0|v1)+48*(v0&~v1)*~(v0|~v1)-6*(v0&~v1)*~v1-1*(v0^v1)*(v0|v1)-2*(v0^v1)*v1-6*(v0&~v1)*(v0|v1)-12*(v0&~v1)*v1
-1*(v0|v1)+3*~(v0|~v1),-2*~v0+1*~(v0&v1)+3*(v0^v1)+1*~(v0|v1)-5*(v0&~v1)-1*(v0&v1)
-1*(v0|v1)+3*~(v0|~v1),-2*(v0|v1)*(v0&v1)+2*(v0|v1)*(v0&~v1)-6*(v0|v1)*~(v0&~v1)+10*(v0|v1)*~(v0^v1)-1*(v0|v1)*~(v0|v1)+9*(v0|v1)*~(v0|~v1)+6*~(v0|~v1)*(v0&v1)-6*~(v0|~v1)*(v0&~v1)+18*~(v0|~v1)*~(v0&~v1)-30*~(v0|~v1)*~(v0^v1)+3*~(v0|~v1)*~(v0|v1)-27*~(v0|~v1)*~(v0|~v1)-1*(v0|v1)*~(v0&~v0)-1*(v0|v1)*~v0+3*~(v0|~v1)*~(v0&~v0)+3*~(v0|~v1)*~v0
-5*~v0+8*~(v0|v1),-3*(v0^v1)-1*~(v0&v1)+4*~(v0^v1)-1*~(v0|~v1)+4*(v0&~v1)-4*(v0&v1)
-5*~v0+8*~(v0|v1),-75*~v0*(v0&v1)-95*~v0*(v0&~v1)+20*~v0*~(v0&v1)+60*~v0*~(v0&~v0)-85*~v0*~(v0|v1)-105*~v0*~(v0|~v1)+120*~(v0|v1)*(v0&v1)+152*~(v0|v1)*(v0&~v1)-32*~(v0|v1)*~(v0&v1)-96*~(v0|v1)*~(v0&~v0)+136*~(v0|v1)*~(v0|v1)+168*~(v0|v1)*~(v0|~v1)+20*~v0*(v0|v1)+10*~v0*~v0-32*~(v0|v1)*(v0|v1)-16*~(v0|v1)*~v0
-3*~(v0&~v0),1*(v0^v1)-11*v1-3*~(v0|v1)+7*~(v0|~v1)-4*(v0&~v1)+8*(v0&v1)
-3*~(v0&~v0),-48*~(v0&~v0)*(v0&v1)+51*~(v0&~v0)*(v0&~v1)-42*~(v0&~v0)*~(v0&v1)+66*~(v0&~v0)*~(v0^v1)-21*~(v0&~v0)*~(v0|v1)+60*~(v0&~v0)*~(v0|~v1)-6*~(v0&~v0)*(v0|v1)-9*~(v0&~v0)*v1
6*(v0&v1)+3*(v0&~v1),5*~v0-1*~(v0&~v0)+7*~(v0^v1)+4*(v0^v1)-11*~(v0|v1)-8*~(v0|~v1)
6*(v0&v1)+3*(v0&~v1),18*(v0&v1)*(v0&~v1)-12*(v0&v1)*~(v0&~v1)+24*(v0&v1)*~(v0|v1)+18*(v0&v1)*~(v0|~v1)+6*(v0&v1)*~v0+9*(v0&~v1)*(v0&~v1)-6*(v0&~v1)*~(v0&~v1)+12*(v0&~v1)*~(v0|v1)+9*(v0&~v1)*~(v0|~v1)+3*(v0&~v1)*~v0+24*(v0&v1)*(v0&v1)-18*(v0&v1)*~(v0&~v0)-6*(v0&v1)*~v1+12*(v0&~v1)*(v0&v1)-9*(v0&~v1)*~(v0&~v0)-3*(v0&~v1)*~v1
-7*v1,3*(v0^v1)+1*~(v0&~v0)-1*~(v0|v1)-11*~(v0|~v1)-4*(v0&~v1)-8*(v0&v1)
-7*v1,-35*v1*(v0&v1)-112*v1*(v0&~v1)+28*v1*(v0|~v1)+84*v1*~(v0&v1)-105*v1*~(v0|v1)-70*v1*~(v0|~v1)-7*v1*(v0^v1)+14*v1*v0
-1*~(v0|v1),-1*~(v0&~v1)-1*~(v0&v1)+1*(v0|~v1)-11*v1+13*~(v0|~v1)+11*(v0&v1)
-1*~(v0|v1),5*~(v0|v1)*(v0&v1)+12*~(v0|v1)*(v0&~v1)-11*~(v0|v1)*(v0|v1)-4*~(v0|v1)*~(v0&~v1)-6*~(v0|v1)*~(v0|v1)+16*~(v0|v1)*~(v0|~v1)+11*~(v0|v1)*~(v0^v1)
-7*~(v0^v1)+1*~(v0&~v0),5*~(v0&~v1)-5*(v0^v1)+1*~(v0&v1)-12*~(v0|v1)+5*(v0&~v1)-11*(v0&v1)
-7*~(v0^v1)+1*~(v0&~v0),-35*~(v0^v1)*(v0&v1)-49*~(v0^v1)*(v0&~v1)+42*~(v0^v1)*(v0|v1)-7*~(v0^v1)*~(v0|v1)-49*~(v0^v1)*~(v0|~v1)+5*~(v0&~v0)*(v0&v1)+7*~(v0&~v0)*(v0&~v1)-6*~(v0&~v0)*(v0|v1)+1*~(v0&~v0)*~(v0|v1)+7*~(v0&~v0)*~(v0|~v1)+14*~(v0^v1)*~(v0&v1)-2*~(v0&~v0)*~(v0&v1)
6*(v0|v1),2*~v0-3*~(v0&~v0)+1*(v0|~v1)+7*~(v0|~v1)+8*(v0&~v1)+8*(v0&v1)
6*(v0|v1),-48*(v0|v1)*(v0&v1)+84*(v0|v1)*(v0&~v1)+24*(v0|v1)*~(v0&~v1)+78*(v0|v1)*~(v0|v1)-30*(v0|v1)*~(v0|~v1)-108*(v0|v1)*~v1+18*(v0|v1)*v0
9*(v0&v1)-11*~(v0^v1),2*v0-1*~(v0&~v0)-1*(v0|v1)-2*~(v0&~v1)-8*~(v0|v1)+4*~(v0|~v1)
9*(v0&v1)-11*~(v0^v1),-108*(v0&v1)*(v0&v1)-90*(v0&v1)*(v0&~v1)+99*(v0&v1)*v0-9*(v0&v1)*~(v0|v1)+9*(v0&v1)*~(v0|~v1)-154*~(v0^v1)*(v0&v1)-198*~(v0^v1)*(v0&~v1)+231*~(v0^v1)*v0-66*~(v0^v1)*~(v0&~v1)+77*~(v0^v1)*~(v0|v1)+99*~(v0^v1)*~(v0|~v1)-18*(v0&v1)*(v0^v1)-22*~(v0^v1)*(v0^v1)
